[07/09/22 00:07:27] Latency: 19 ms				Upload: 10453 b/s				Download: 562 b/s				CPU Usage: 60 %				CPU Clock: 0 MHz				CPU Temp: 54 °C				GPU Usage: 35 %				GPU Clock: 1544 MHz				GPU Temp: 53 °C				GPU Memory Usage: 2424 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 41 %				GPU Fan Speed: 66 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 10780 b				SWAP Usage: 20315426816 b				SWAP Free: 3793518592 b
[07/09/22 00:17:27] Latency: 17 ms				Upload: 5310 b/s				Download: 15185 b/s				CPU Usage: 49 %				CPU Clock: 0 MHz				CPU Temp: 49 °C				GPU Usage: 44 %				GPU Clock: 2088 MHz				GPU Temp: 56 °C				GPU Memory Usage: 2429 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 63 %				GPU Fan Speed: 64 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 10300 b				SWAP Usage: 20371619840 b				SWAP Free: 3737325568 b
[07/09/22 00:27:27] Latency: 26 ms				Upload: 192 b/s				Download: 576 b/s				CPU Usage: 11 %				CPU Clock: 0 MHz				CPU Temp: 35 °C				GPU Usage: 4 %				GPU Clock: 1506 MHz				GPU Temp: 38 °C				GPU Memory Usage: 1445 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 58 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7389 b				SWAP Usage: 15805890560 b				SWAP Free: 7210295296 b
[07/09/22 00:37:27] Latency: 52 ms				Upload: 176 b/s				Download: 120 b/s				CPU Usage: 11 %				CPU Clock: 0 MHz				CPU Temp: 33 °C				GPU Usage: 4 %				GPU Clock: 1506 MHz				GPU Temp: 37 °C				GPU Memory Usage: 1419 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 55 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7598 b				SWAP Usage: 15816077312 b				SWAP Free: 7200108544 b
[07/09/22 16:35:45] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 100 %				CPU Clock: 0 MHz				CPU Temp: 48 °C				GPU Usage: 3 %				GPU Clock: 1506 MHz				GPU Temp: 33 °C				GPU Memory Usage: 797 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 52 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 5778 b				SWAP Usage: 9528168448 b				SWAP Free: 13488017408 b
[07/09/22 16:45:48] Latency: 80 ms				Upload: 84 b/s				Download: 120 b/s				CPU Usage: 28 %				CPU Clock: 0 MHz				CPU Temp: 45 °C				GPU Usage: 7 %				GPU Clock: 1506 MHz				GPU Temp: 38 °C				GPU Memory Usage: 1292 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 55 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7135 b				SWAP Usage: 13083815936 b				SWAP Free: 9932369920 b
[07/09/22 16:55:48] Latency: 215 ms				Upload: 32893 b/s				Download: 1764767 b/s				CPU Usage: 18 %				CPU Clock: 0 MHz				CPU Temp: 38 °C				GPU Usage: 5 %				GPU Clock: 1506 MHz				GPU Temp: 38 °C				GPU Memory Usage: 1303 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7532 b				SWAP Usage: 13351264256 b				SWAP Free: 9664921600 b
[07/09/22 17:05:48] Latency: 16 ms				Upload: 176 b/s				Download: 120 b/s				CPU Usage: 58 %				CPU Clock: 0 MHz				CPU Temp: 46 °C				GPU Usage: 37 %				GPU Clock: 1506 MHz				GPU Temp: 40 °C				GPU Memory Usage: 1255 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 38 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7700 b				SWAP Usage: 13344735232 b				SWAP Free: 9671450624 b
[07/09/22 17:14:13] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 21 %				CPU Clock: 0 MHz				CPU Temp: 44 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1291 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 57 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7343 b				SWAP Usage: 13252169728 b				SWAP Free: 9764016128 b
[07/09/22 17:15:51] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 24 %				CPU Clock: 0 MHz				CPU Temp: 43 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1285 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 57 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7106 b				SWAP Usage: 13178916864 b				SWAP Free: 9837268992 b
[07/09/22 17:20:48] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 59 %				CPU Clock: 0 MHz				CPU Temp: 46 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7241 b				SWAP Usage: 13135556608 b				SWAP Free: 9880629248 b
[07/09/22 17:21:01] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 30 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1298 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7205 b				SWAP Usage: 13135597568 b				SWAP Free: 9880588288 b
[07/09/22 17:21:45] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 37 %				CPU Clock: 0 MHz				CPU Temp: 50 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7137 b				SWAP Usage: 13048717312 b				SWAP Free: 9967468544 b
[07/09/22 17:21:54] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 27 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7140 b				SWAP Usage: 13045616640 b				SWAP Free: 9970569216 b
